,Concurso,Numeros,Ganhadores
0,2108,"[1, 3, 4, 5, 6, 7, 9, 13, 16, 17, 18, 19, 21, 24, 25]",0
1,2107,"[1, 2, 3, 5, 7, 8, 9, 12, 13, 16, 18, 20, 22, 24, 25]",4
2,2106,"[2, 4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 21, 24]",1
3,2105,"[3, 7, 8, 9, 10, 13, 14, 16, 17, 18, 19, 20, 21, 22, 25]",3
4,2104,"[2, 4, 5, 6, 8, 9, 10, 11, 12, 14, 17, 18, 20, 21, 23]",7
5,2103,"[1, 2, 5, 7, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 25]",1
6,2102,"[2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 15, 16, 20, 22, 25]",2
7,2101,"[1, 2, 3, 8, 10, 11, 14, 17, 18, 19, 20, 21, 23, 24, 25]",0
8,2100,"[1, 3, 5, 6, 7, 10, 11, 14, 17, 18, 19, 20, 21, 23, 25]",1
9,2099,"[1, 2, 5, 7, 8, 9, 11, 12, 14, 15, 17, 18, 20, 24, 25]",2
10,2098,"[4, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 22, 25]",0
11,2097,"[2, 3, 6, 7, 8, 10, 12, 14, 15, 16, 18, 19, 21, 23, 24]",2
12,2096,"[2, 3, 7, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20, 21, 25]",0
13,2095,"[1, 2, 4, 6, 8, 11, 12, 14, 15, 17, 18, 19, 20, 22, 23]",1
14,2094,"[2, 4, 5, 6, 8, 9, 10, 11, 12, 14, 18, 19, 23, 24, 25]",4
15,2093,"[1, 2, 3, 4, 6, 8, 9, 12, 14, 15, 19, 20, 21, 24, 25]",1
16,2092,"[1, 2, 3, 5, 7, 9, 11, 13, 15, 17, 18, 19, 20, 22, 25]",4
17,2091,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 19, 20, 24]",0
18,2090,"[1, 6, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20, 22, 24, 25]",1
19,2089,"[1, 2, 5, 6, 8, 9, 10, 11, 12, 13, 16, 19, 20, 23, 25]",2
20,2088,"[1, 2, 4, 5, 6, 7, 9, 11, 13, 14, 15, 21, 22, 23, 24]",1
21,2087,"[3, 6, 8, 10, 13, 14, 15, 16, 17, 18, 19, 20, 23, 24, 25]",1
22,2086,"[4, 5, 6, 10, 11, 12, 14, 15, 17, 20, 21, 22, 23, 24, 25]",0
23,2085,"[1, 4, 6, 9, 10, 12, 13, 14, 15, 16, 18, 20, 23, 24, 25]",0
24,2084,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 14, 15, 16, 19, 22, 24]",1
25,2083,"[4, 5, 7, 9, 10, 11, 12, 14, 16, 19, 20, 21, 22, 23, 24]",3
26,2082,"[1, 4, 5, 6, 7, 8, 9, 10, 13, 15, 16, 17, 19, 20, 25]",0
27,2081,"[2, 4, 5, 6, 7, 9, 10, 11, 15, 16, 17, 18, 19, 20, 21]",1
28,2080,"[1, 2, 3, 5, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 25]",2
29,2079,"[1, 2, 3, 6, 9, 12, 14, 15, 17, 18, 19, 22, 23, 24, 25]",0
30,2078,"[1, 2, 3, 4, 6, 12, 13, 15, 17, 18, 19, 21, 22, 24, 25]",0
31,2077,"[3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 21, 24, 25]",3
32,2076,"[1, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 18, 22, 24, 25]",3
33,2075,"[2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 17, 19, 23, 24, 25]",7
34,2074,"[2, 3, 4, 5, 6, 9, 14, 15, 18, 19, 20, 21, 22, 24, 25]",2
35,2073,"[4, 5, 6, 7, 11, 12, 13, 15, 16, 18, 19, 20, 23, 24, 25]",5
36,2072,"[1, 3, 4, 9, 10, 11, 12, 13, 14, 15, 17, 18, 21, 22, 24]",0
37,2071,"[1, 2, 4, 6, 9, 10, 11, 12, 13, 15, 16, 17, 20, 21, 25]",1
38,2070,"[2, 4, 6, 8, 9, 12, 13, 14, 15, 16, 17, 19, 20, 24, 25]",4
39,2069,"[1, 2, 3, 4, 5, 6, 7, 9, 13, 17, 21, 22, 23, 24, 25]",5
40,2068,"[1, 2, 3, 7, 10, 14, 15, 16, 18, 19, 20, 21, 23, 24, 25]",0
41,2067,"[1, 7, 8, 9, 12, 13, 14, 16, 17, 19, 20, 21, 23, 24, 25]",3
42,2066,"[1, 7, 8, 9, 12, 13, 14, 16, 17, 19, 20, 21, 23, 24, 25]",3
43,2065,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 19, 21, 22]",5
44,2064,"[2, 4, 6, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 24, 25]",0
45,2063,"[1, 2, 5, 6, 7, 10, 11, 13, 16, 18, 19, 20, 22, 24, 25]",1
46,2062,"[3, 4, 6, 7, 8, 9, 10, 12, 14, 15, 19, 20, 22, 23, 24]",1
47,2061,"[1, 2, 5, 8, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 23]",2
48,2060,"[3, 5, 9, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",4
49,2059,"[1, 4, 5, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25]",1
50,2058,"[1, 5, 7, 8, 10, 12, 13, 14, 15, 17, 20, 21, 22, 23, 24]",1
51,2057,"[2, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 25]",4
52,2056,"[1, 3, 4, 5, 6, 9, 10, 13, 15, 16, 17, 18, 19, 20, 21]",0
53,2055,"[1, 2, 3, 4, 5, 7, 11, 14, 15, 16, 18, 19, 21, 23, 25]",3
54,2054,"[1, 2, 3, 5, 7, 8, 10, 11, 12, 14, 17, 19, 21, 22, 23]",4
55,2053,"[3, 4, 9, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24]",1
56,2052,"[1, 3, 4, 6, 8, 10, 12, 13, 14, 16, 17, 18, 20, 24, 25]",2
57,2051,"[1, 2, 3, 4, 7, 9, 10, 12, 16, 18, 19, 20, 22, 23, 25]",1
58,2050,"[1, 2, 3, 4, 5, 6, 7, 9, 13, 15, 17, 18, 19, 21, 22]",1
59,2049,"[3, 4, 8, 9, 10, 11, 13, 14, 16, 17, 20, 21, 22, 24, 25]",1
60,2048,"[1, 3, 4, 6, 7, 8, 9, 12, 13, 16, 19, 20, 21, 22, 25]",1
61,2047,"[2, 3, 4, 5, 7, 8, 10, 11, 12, 15, 16, 18, 20, 21, 23]",2
62,2046,"[1, 3, 4, 7, 10, 11, 14, 15, 17, 20, 21, 22, 23, 24, 25]",2
63,2045,"[1, 3, 5, 9, 12, 13, 15, 16, 17, 18, 19, 20, 21, 24, 25]",1
64,2044,"[3, 5, 6, 10, 11, 13, 16, 17, 18, 19, 20, 21, 22, 24, 25]",0
65,2043,"[3, 5, 7, 9, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 25]",4
66,2042,"[2, 3, 4, 8, 9, 10, 12, 14, 15, 17, 18, 21, 22, 24, 25]",1
67,2041,"[1, 2, 4, 7, 9, 11, 13, 14, 16, 17, 19, 22, 23, 24, 25]",4
68,2040,"[2, 3, 8, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24]",1
69,2039,"[1, 2, 3, 4, 5, 6, 10, 11, 14, 15, 19, 21, 23, 24, 25]",2
70,2038,"[1, 3, 5, 7, 10, 11, 12, 14, 15, 17, 18, 19, 20, 24, 25]",1
71,2037,"[1, 2, 4, 7, 8, 9, 10, 11, 14, 16, 18, 20, 21, 22, 23]",1
72,2036,"[4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19, 21, 22, 23, 25]",2
73,2035,"[3, 8, 10, 11, 12, 13, 14, 16, 18, 19, 20, 22, 23, 24, 25]",5
74,2034,"[1, 3, 4, 5, 7, 8, 9, 11, 13, 14, 16, 18, 19, 22, 24]",10
75,2033,"[1, 2, 5, 6, 10, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22]",2
76,2032,"[2, 4, 5, 7, 8, 9, 12, 13, 15, 17, 18, 19, 21, 22, 25]",8
77,2031,"[1, 2, 3, 7, 8, 9, 10, 12, 13, 15, 18, 20, 23, 24, 25]",2
78,2030,"[2, 3, 4, 5, 6, 9, 10, 12, 14, 15, 17, 19, 22, 23, 25]",50
79,2029,"[3, 4, 7, 8, 10, 11, 12, 13, 16, 17, 19, 22, 23, 24, 25]",0
80,2028,"[1, 2, 3, 4, 5, 6, 8, 9, 15, 16, 18, 19, 20, 23, 25]",1
81,2027,"[1, 2, 3, 6, 7, 9, 12, 13, 16, 17, 20, 21, 23, 24, 25]",2
82,2026,"[1, 3, 4, 5, 6, 11, 13, 14, 16, 19, 20, 21, 22, 23, 24]",0
83,2025,"[2, 3, 4, 6, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20, 22]",6
84,2024,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 14, 17, 18, 21, 23, 24]",1
85,2023,"[1, 2, 4, 8, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 25]",2
86,2022,"[1, 3, 6, 8, 9, 10, 11, 12, 13, 14, 17, 18, 21, 22, 25]",1
87,2021,"[1, 2, 3, 4, 6, 7, 8, 10, 12, 15, 18, 19, 22, 23, 24]",0
